Train Number,Train Name,From Station,To Station
04937,PWL TDL EXP SPL,GHAZIABAD,TUNDLA JN
04960,SSB PWL MEMU SPL,SHAKURBASTI,BALLABGARH
04967,MTJ NDLS MEMU SPL,MATHURA JN,NEW DELHI
05019,MNDP GHY PASS SPL,MENDIPATHAR,GUWAHATI
05020,GHY MNDP PASS SPL,GUWAHATI,MENDIPATHAR
05031,GKP GD UN RESERVED,GORAKHPUR JN,GONDA JN
05032,GD GKP UN RESERVED,GONDA JN,GORAKHPUR JN
05033,GKP BNY DEMU SPL,GORAKHPUR JN,BARHNI
05034,BNY GKP DEMU SPL,BARHNI,GORAKHPUR JN
05133,ARJ JNU DEMU SPL,AUNRIHAR JN,JAUNPUR JN
05134,JNU ARJ DEMU SPL,JAUNPUR JN,AUNRIHAR JN
05135,CPR ARJ DEMU SPL,CHHAPRA,AUNRIHAR JN
05136,ARJ CPR DEMU SPL,AUNRIHAR JN,CHHAPRA
05137,MAU PRRB MEMU SPL,MAU JN,PRAYAGRAJ RAMBAGH
05138,PRRB MAU MEMU SPL,PRAYAGRAJ RAMBAGH,MAU JN
05143,ARJ JNU DEMU SPL,AUNRIHAR JN,JAUNPUR JN
05144,JNU ARJ DEMU SPL,JAUNPUR JN,AUNRIHAR JN
05145,CPR SV DEMU SPL,CHHAPRA,SIWAN JN
05146,SV CPR DEMU SPL,SIWAN JN,CHHAPRA
05147,BTT BCY MEMU SPL,BHATNI JN,VARANASI CITY
05148,BCY BTT MEMU SPL,VARANASI CITY,BHATNI JN
05154,GKP SV EXP SPL,GORAKHPUR JN,SIWAN JN
05169,BUI PRRB MEMU SPL,BALLIA,PRAYAGRAJ RAMBAGH
05170,PRRB BUI MEMU SPL,PRAYAGRAJ RAMBAGH,BALLIA
05207,DBG RXL DEMU SPL,DARBHANGA JN,RAXAUL JN
05208,RXL DBG DEMU SPL,RAXAUL JN,DARBHANGA JN
05209,RXL NKE DEMU SPL,RAXAUL JN,NARKATIAGANJ JN
05213,RXL SMI DEMU SPL,RAXAUL JN,SITAMARHI
05214,SMI RXL DEMU SPL,SITAMARHI,RAXAUL JN
05217,DBG RXL DEMU SPL,DARBHANGA JN,RAXAUL JN
05218,RXL DBG DEMU SPL,RAXAUL JN,DARBHANGA JN
05221,SHC SPJ DEMU SPL,SAHARSA JN,SAMASTIPUR JN
05222,SPJ SHC DEMU SPL,SAMASTIPUR JN,SAHARSA JN
05223,PRNA SHC DEMU SPL,PURNIA JN,SAHARSA JN
05224,SHC PRNA DEMU SPL,SAHARSA JN,PURNIA JN
05225,PRNA SHC DEMU SPL,PURNIA JN,SAHARSA JN
05226,SHC PRNA DEMU SPL,SAHARSA JN,PURNIA JN
05229,BHGJ SHC DEMU SPL,BIHARIGANJ,SAHARSA JN
05230,SHC BHGJ DEMU SPL,SAHARSA JN,BIHARIGANJ
05233,BJU SPJ DEMU SPL,BARAUNI JN,SAMASTIPUR JN
05234,SPJ BJU DEMU SPL,SAMASTIPUR JN,BARAUNI JN
05235,BJU SEE DEMU SPL,BARAUNI JN,SONPUR JN
05236,SEE BJU DEMU SPL,SONPUR JN,BARAUNI JN
05237,BHGJ PRNC DEMU SPL,BIHARIGANJ,PURNIA COURT
05238,PRNC BHGJ DEMU SPL,PURNIA COURT,BIHARIGANJ
05239,PRNA SHC DEMU SPL,PURNIA JN,SAHARSA JN
05240,SHC PRNA DEMU SPL,SAHARSA JN,PURNIA JN
05241,SEE PCDR DEMU SPL,SONPUR JN,PANCHDEORI HALT
05242,PCDR SEE DEMU SPL,PANCHDEORI HALT,SONPUR JN
05243,SHC SPJ MEMU SPL,SAHARSA JN,SAMASTIPUR JN
05244,SPJ SHC MEMU SPL,SAMASTIPUR JN,SAHARSA JN
05245,SEE CPR MEMU SPL,SONPUR JN,CHHAPRA
05246,CPR SEE MEMU SPL,CHHAPRA,SONPUR JN
05247,SEE CPR MEMU SPL,SONPUR JN,CHHAPRA
05248,CPR SEE MEMU SPL,CHHAPRA,SONPUR JN
05249,KIR BJU MEMU SPL,KATIHAR JN,BARAUNI JN
05250,BJU KIR MEMU SPL,BARAUNI JN,KATIHAR JN
05253,MFP PPTA MEMU SPL,MUZAFFARPUR JN,PATLIPUTRA
05254,PPTA MFP MEMU SPL,PATLIPUTRA,MUZAFFARPUR JN
05255,SPJ MFP MEMU SPL,SAMASTIPUR JN,MUZAFFARPUR JN
05256,MFP SPJ MEMU SPL,MUZAFFARPUR JN,SAMASTIPUR JN
05257,MFP NKE MEMU SPL,MUZAFFARPUR JN,NARKATIAGANJ JN
05258,NKE MFP MEMU SPL,NARKATIAGANJ JN,MUZAFFARPUR JN
05259,MFP NKE MEMU SPL,MUZAFFARPUR JN,NARKATIAGANJ JN
05260,NKE MFP MEMU SPL,NARKATIAGANJ JN,MUZAFFARPUR JN
05261,MFP RXL MEMU SPL,MUZAFFARPUR JN,RAXAUL JN
05262,RXL MFP MEMU SPL,RAXAUL JN,MUZAFFARPUR JN
05263,KIR SPJ MEMU SPL,KATIHAR JN,SAMASTIPUR JN
05264,SPJ KIR MEMU SPL,SAMASTIPUR JN,KATIHAR JN
05265,DBG PPTA MEMU SPL,DARBHANGA JN,PATLIPUTRA
05266,PPTA DBG MEMU SPL,PATLIPUTRA,DARBHANGA JN
05276,SPJ SHC MEMU SPL,SAMASTIPUR JN,SAHARSA JN
05277,SHC SPJ MEMU SPL,SAHARSA JN,SAMASTIPUR JN
05278,SPJ SHC MEMU SPL,SAMASTIPUR JN,SAHARSA JN
05279,SHC SOU MEMU,SAHARSA JN,SUPAUL
05280,SOU SHC MEMU,SUPAUL,SAHARSA JN
05287,MFP RXL MEMU SPL,MUZAFFARPUR JN,RAXAUL JN
05288,RXL MFP MEMU SPL,RAXAUL JN,MUZAFFARPUR JN
05291,SHC SPJ MEMU SPL,SAHARSA JN,SAMASTIPUR JN
05292,SPJ SHC MEMU SPL,SAMASTIPUR JN,SAHARSA JN
05311,BC PBE DEMU SPL,BAREILLY CITY,PILIBHIT JN
05312,PBE BS DEMU SPL,PILIBHIT JN,BAREILLY CITY
05321,BE TPE DEMU SPL,BAREILLY CITY,TANAKPUR
05322,TPU BC DEMU SPL,TANAKPUR,BAREILLY CITY
05331,LKU MB SPL,LAL KUAN,MORADABAD
05332,MB LKU SPL,MORADABAD,LAL KUAN
05333,RMR MB PASS SPL,RAMNAGAR,MORADABAD
05334,MB RMR PASS SPL,MORADABAD,RAMNAGAR
05335,KPV KSJ PASS SPL,KASHIPUR,KASGANJ
05336,KSJ KPV PASS SPL,KASGANJ,KASHIPUR
05339,BC PBE PASS SPL,BAREILLY CITY,PILIBHIT JN
05340,PBE BC PASS SPL,PILIBHIT JN,BAREILLY CITY
05361,NNP MLN PASS SPL,NANPARA JN,MAILANI
05362,MLN NNP PASS SPL,MAILANI,NANPARA JN
05371,GD BRK DEMU SPL,GONDA JN,BAHRAICH
05372,BRK GD DEMU SPL,BAHRAICH,GONDA JN
05381,PBE SPN PASS SPL,PILIBHIT JN,SHAHJEHANPUR
05382,SPN PBE PASS SPL,SHAHJEHANPUR,PILIBHIT JN
05395,PBE SPN SPL,PILIBHIT JN,SHAHJEHANPUR
05396,SPN PBE SPL,SHAHJEHANPUR,PILIBHIT JN
05407,RPH GAYA PASS SPL,RAMPUR HAT,GAYA JN
05409,KPV RMR PASS SPL,KASHIPUR,RAMNAGAR
05410,RMR KPV PASS SPL,RAMNAGAR,KASHIPUR
05411,BHW SBG PASS SPL,BARHARWA JN,SAHIBGANJ JN
05413,KSJ AF PASS SPL,KASGANJ,AGRA FORT
05414,AF KSJ PASS SPL,AGRA FORT,KASGANJ
05415,SBG JMP PASS SPL,SAHIBGANJ JN,JAMALPUR JN
05419,SKB KSJ PASS SPL,SHIKOHABAD JN,KASGANJ
05420,KSJ SKB PASS SPL,KASGANJ,SHIKOHABAD JN
