Train Number,Train Name,From Station,To Station
06847,TN MEJ PASS SPL,TUTICORIN,VANCHI MANIYACHCHI
06848,MEJ TN PASS SPL,VANCHI MANIYACHCHI,TUTICORIN
06871,TJ TPJ EXP SPL,THANJAVUR,TIRUCHCHIRAPALI
06876,TPJ TVR DEMU SPL,TIRUCHCHIRAPALI,THIRUVARUR JN
06877,VM TVR PASS SPL,VILLUPURAM JN,THIRUVARUR JN
06880,TPJ KIK DEMU EXP SPL,TIRUCHCHIRAPALI,KARAIKAL
06885,KKDI VPT DEMU SPL,KARAIKKUDI JN,VIRUDUNAGAR JN
06886,VPT KKDI DEMU SPL,VIRUDUNAGAR JN,KARAIKKUDI JN
06887,TPJ KKDI DEMU SPL,TIRUCHCHIRAPALI,KARAIKKUDI JN
06888,KKDI TPJ DMU SPL,KARAIKKUDI JN,TIRUCHCHIRAPALI
06889,TDPR TPJ DEMU SPL,TIRUPADRIPULYUR,TIRUCHCHIRAPALI
06890,TPJ TDPR DEMU SPL,TIRUCHCHIRAPALI,TIRUPADRIPULYUR
06891,VRI TPJ DEMU EXP SPL,VRIDHACHALAM JN,TIRUCHCHIRAPALI
06892,TPJ VRI DEMU EXP SPL,TIRUCHCHIRAPALI,VRIDHACHALAM JN
06895,VRI SA DEMU SPL,VRIDHACHALAM JN,SALEM JN
06896,SA VRI DEMU SPL,SALEM JN,VRIDHACHALAM JN
06897,KIK NGT DEMU SPL,KARAIKAL,NAGAPPATTINAM
06898,NGT KIK DEMU SPL,NAGAPPATTINAM,KARAIKAL
06919,UBL BJP PASS SPL,HUBBALLI JN,VIJAYAPURA
06920,BJP UBL PASS SPL,VIJAYAPURA,HUBBALLI JN
06927,DBNK ASR DEMU SPL,VERKA JN,DERABABA NANAK
06928,DBNK ASR EXP SPL,DERABABA NANAK,AMRITSAR JN
06929,ATT ASR EXP SPL,AMRITSAR JN,ATARI
06930,ATT ASR EXP SPL,ATARI,AMRITSAR JN
06931,ATT ASR EXP SPL,AMRITSAR JN,ATARI
06932,ATT ASR EXP SPL,ATARI,AMRITSAR JN
06933,ASR PTK EXP SPL,AMRITSAR JN,PATHANKOT
06934,PTK ASR EXP SPL,PATHANKOT,AMRITSAR JN
06935,VKA PTK EXP SPL,VERKA JN,PATHANKOT
06936,PTK VKA EXP SPL,PATHANKOT,VERKA JN
06938,PTK ASR EXP SPL,PATHANKOT,AMRITSAR JN
06941,ASR KEMK EXP SPL,KHEM KARAN,BHAGTANWALA
06942,ASR KEMK EXP SPL,AMRITSAR JN,KHEM KARAN
06943,KEMK BGTN EXP SPL,KHEM KARAN,BHAGTANWALA
06944,BGTN KEMK EXP SPL,BHAGTANWALA,KHEM KARAN
06947,ASR QDN EXP SPL,AMRITSAR JN,QADIAN
06948,QDN ASR EXP SPL,QADIAN,AMRITSAR JN
06949,JUC PTK MEX SPL,JALANDHAR CITY,PATHANKOT
06950,PTK JUC EXP SPL,PATHANKOT,JALANDHAR CITY
06951,PTK UHP EXP SPL,PATHANKOT,MTYR C TUSHAR MAHAJAN
06952,MCTM PTK EXP SPL,MTYR C TUSHAR MAHAJAN,PATHANKOT
06955,HSX JUC EXP SPL,HOSHIARPUR,JALANDHAR CITY
06956,JUC HSX EXP SPL,JALANDHAR CITY,HOSHIARPUR
06957,HSX JUC EXP SPL,HOSHIARPUR,JALANDHAR CITY
06960,JUC HSX EXP SPL,JALANDHAR CITY,HOSHIARPUR
06963,JUC FZR EXP SPL,JALANDHAR CITY,FIROZPUR CANT
06964,FZR JUC EXP SPL,FIROZPUR CANT,JALANDHAR CITY
06965,JUC FZR EXP SPL,JALANDHAR CITY,FIROZPUR CANT
06966,FZR JUC EXP SPL,FIROZPUR CANT,JALANDHAR CITY
06967,JUC FZR EXP SPL,JALANDHAR CITY,FIROZPUR CANT
06968,FZR JUC EXP SPL,FIROZPUR CANT,JALANDHAR CITY
06969,NRO JUC EXP SPL,NAKODAR JN,JALANDHAR CITY
06970,JUC NRO EXP SPL,JALANDHAR CITY,NAKODAR JN
06971,NRO JUC EXP SPL,NAKODAR JN,JALANDHAR CITY
06972,JUC NRO EXP SPL,JALANDHAR CITY,NAKODAR JN
06973,NRO JUC EXP SPL,NAKODAR JN,JALANDHAR CITY
06974,JUC NRO EXP SPL,JALANDHAR CITY,NAKODAR JN
06975,NRO JUC EXP SPL,NAKODAR JN,JALANDHAR CITY
06976,JUC NRO EXP SPL,JALANDHAR CITY,NAKODAR JN
06981,LDH FZR EXP SPL,LUDHIANA JN,FIROZPUR CANT
06982,FZR LDH EXP SPL,FIROZPUR CANT,LUDHIANA JN
06983,LDH LNK EXP SPL,LUDHIANA JN,LOHIAN KHAS JN
06984,LNK PHR EXP SPL,LOHIAN KHAS JN,PHILLAUR JN
06985,PHR LNK EXP SPL,PHILLAUR JN,LOHIAN KHAS JN
06986,LNK LDH EXP SPL,LOHIAN KHAS JN,LUDHIANA JN
06987,FKA FZR EXP SPL,FIROZPUR CANT,FAZILKA
06988,FKA FZR EXP SPL,FAZILKA,FIROZPUR CANT
06989,FZR FKA EXP SPL,FIROZPUR CANT,FAZILKA
06990,FKA FZR EXP SPL,FAZILKA,FIROZPUR CANT
06991,KKP FKA EXP SPL,KOT KAPURA,FAZILKA
06992,FKA KKP EXP SPL,FAZILKA,KOT KAPURA
06993,KKP FKA EXP SPL,KOT KAPURA,FAZILKA
06994,FKA KKP EXP SPL,FAZILKA,KOT KAPURA
06995,BTI FKA EXP SPL,BHATINDA JN,FAZILKA
06996,FKA BTI EXP SPL,FAZILKA,BHATINDA JN
06997,UMB DLPC MEXP SPL,AMBALA CANT JN,DAULATPUR CHOWK
06998,DLPC UMB MEXP SPL,DAULATPUR CHOWK,AMBALA CANT JN
07274,KCG MBNR PASS SPL,KACHEGUDA,MAHBUBNAGAR
07275,BDHN KCG PASS SPL,BODHAN,KACHEGUDA
07278,BDCR BZA MEMU SPL,BHADRACHALAM RD,VIJAYAWADA JN
07279,BZA TEL MEMU SPL,VIJAYAWADA JN,TENALI JN
07280,NDD NS DEMU SPL,NIDADAVOLU JN,NARASAPUR
07281,NS BZA DEMU SPL,NARASAPUR,GUNTUR JN
07282,TEL GNT MEMU SPL,TENALI JN,GUNTUR JN
07283,BZA BVRM DEMU SPL,VIJAYAWADA JN,BHIMAVARAM JN
07284,NDL RU DEMU SPL,NANDYAL,RENIGUNTA JN
07285,RU NDL DEMU SPL,RENIGUNTA JN,NANDYAL
07288,GTL DHNE DEMU SPL,GUNTAKAL JN,DHONE
07289,DHNE DY DEMU SPL,DHONE,GOOTY JN
07290,DY DHNE DEMU SPL,GOOTY JN,DHONE
07291,DHNE KRNT DEMU SPL,DHONE,KURNOOL TOWN
07292,KRNT DHNE DEMU SPL,KURNOOL TOWN,GUNTAKAL JN
07321,SUR DWR PASS SPL,SOLAPUR JN,DHARWAR
07322,DWR SUR PASS SPL,DHARWAR,SOLAPUR JN
07327,MYS CMNR PASS SPL,MYSORE JN,CHAMARAJANAGAR
07328,MYS CMNR PASS SPL,CHAMARAJANAGAR,MYSORE JN
07331,SUR UBL PASS SPL,SOLAPUR JN,HUBBALLI JN
07332,UBL SUR PASS SPL,HUBBALLI JN,SOLAPUR JN
07337,UBL GTL PASS SPL,HUBBALLI JN,GUNTAKAL JN
07338,GTL UBL PASS SPL,GUNTAKAL JN,HUBBALLI JN
07341,VSG KULEM PASS SPL,KULEM,VASCO DA GAMA
07342,KULEM VSG PASS SPL,VASCO DA GAMA,KULEM
07343,VSG KULEM PASS SPL,VASCO DA GAMA,KULEM
07344,KULEM VSG PASS SPL,KULEM,VASCO DA GAMA
07345,CMNR TK PASS SPL,CHAMARAJANAGAR,TUMKUR
07346,TK CMNR PASS SPL,TUMKUR,CHAMARAJANAGAR
07349,TLGP SMET PASS SPL,TALGUPPA,SHIMOGA TOWN
07350,SMET TLGP PASS SPL,SHIMOGA TOWN,TALGUPPA
07365,SMET CMGR PASS SPL,SHIMOGA TOWN,CHIKKAMAGALUR
07366,CMGR SMET PASS SPL,CHIKKAMAGALUR,SHIMOGA TOWN
07379,QLM VSG DEMU SPL,KULEM,VASCO DA GAMA
07380,VSG QLM DEMU SPL,VASCO DA GAMA,KULEM
07381,UBL KTGG PASS SPL,HUBBALLI JN,KARATAGI
07382,KTGG UBL PASS SPL,KARATAGI,HUBBALLI JN
07383,MKT BWT MEMU SPL,MARIKUPPAM,BANGARAPET
07384,BWT MKM MEMU SPL,BANGARAPET,MARIKUPPAM
07458,GUDU BZA,GUDUR JN,VIJAYAWADA JN
07459,BZA RJY MEMU SPL,VIJAYAWADA JN,RAJAMUNDRY
07460,RJY BZA MEMU SPL,RAJAMUNDRY,VIJAYAWADA JN
07461,BZA OGL MEMU SPL,VIJAYAWADA JN,ONGOLE
07462,SC WL MEMU SPL,SECUNDERABAD JN,WARANGAL
07463,WL SC MEMU SPL,WARANGAL,SECUNDERABAD JN
07464,BZA GNT MEMU SPL,VIJAYAWADA JN,GUNTUR JN
07465,GNT BZA MEMU SPL,GUNTUR JN,VIJAYAWADA JN
07466,RJY VSKP MEMU SPL,RAJAMUNDRY,VISHAKAPATNAM
07477,KCG RC MEMU SPL,KACHEGUDA,RAICHUR
07478,RC KCG MEX DMU,RAICHUR,KACHEGUDA
07483,SC SIPT DEMU SPL,SECUNDERABAD JN,SIDDIPET
07484,SIPT SC DEMU SPL,SIDDIPET,SECUNDERABAD JN
07485,SC SIPT DEMU SPL,SECUNDERABAD JN,SIDDIPET
07486,SIPT SC DEMU SPL,SIDDIPET,SECUNDERABAD JN
07491,J NSL DEMU SPL,JALNA,NAGARSOL
07492,NSL J DEMU SPL,NAGARSOL,JALNA
07493,J NSL DEMU SPL,JALNA,NAGARSOL
07494,NSL J DEMU SPL,NAGARSOL,JALNA
07495,GWD RC DEMU SPL,GADWAL,RAICHUR
07496,RC GWD DEMU SPL,RAICHUR,GADWAL
07498,NDL KRNT DEMU SPL,NANDYAL,KURNOOL TOWN
07499,KRNT NDL DEMU SPL,KURNOOL TOWN,NANDYAL
07500,VIJAYAWADA GDR,VIJAYAWADA JN,GUDUR JN
07507,RDP SGUJ DEMU SPL,RADHIKAPUR,SILIGURI JN
07508,SGUJ RDP DEMU SPL,SILIGURI JN,RADHIKAPUR
07513,SGUJ BXT DEMU SPL,SILIGURI JN,BAMANHAT
07514,BXT SGUJ DEMU SPL,BAMANHAT,SILIGURI JN
07519,MLFC SGUJ DEMU SPL,MALDA COURT,SILIGURI JN
07520,SGUJ MLFC DEMU SPL,SILIGURI JN,MALDA COURT
07521,SGUJ HDB DEMU SPL,SILIGURI JN,HALDIBARI
07522,HDB SGUJ DEMU SPL,HALDIBARI,SILIGURI JN
07523,NBQ GHY DEMU SPL,NEW BONGAIGAON,GUWAHATI
07524,GHY NBQ DEMU SPL,GUWAHATI,NEW BONGAIGAON
07525,SGUJ NBQ DMU SPL,SILIGURI JN,NEW BONGAIGAON
07526,NBQ SGUJ DEMU SPL,NEW BONGAIGAON,SILIGURI JN
07527,GHY HBN DEMU SPL,GUWAHATI,HAIBARGAON
07528,HBN GHY DEMU SPL,HAIBARGAON,GUWAHATI
07529,GHY SHTT DEMU SPL,GUWAHATI,SILGHAT TOWN
07530,SHTT GHY DEMU SPL,SILGHAT TOWN,GUWAHATI
07533,TNPR KIR DEMU SPL,TEJNARAYANPUR DK,KATIHAR JN
07534,KIR TNPR DEMU SPL,KATIHAR JN,TEJNARAYANPUR DK
07538,KIR TNPR DEMU SPL,KATIHAR JN,TEJNARAYANPUR DK
07543,KIR SGUJ DEMU SPL,KATIHAR JN,SILIGURI JN
07544,SGUJ KIR DEMU SPL,SILIGURI JN,KATIHAR JN
07545,KIR JBN DEMU SPL,KATIHAR JN,JOGBANI
07546,JBN KIR DEMU SPL,JOGBANI,KATIHAR JN
07549,KIR TETA DEMU SPL,KATIHAR JN,TELTA
07550,TETA KIR DEMU SPL,TELTA,KATIHAR JN
07551,TETA RDP DEMU SPL,TELTA,RADHIKAPUR
07552,RDP TETA DEMU SPL,RADHIKAPUR,TELTA
07553,KIR JBN DEMU SPL,KATIHAR JN,JOGBANI
07555,KIR JBN DEMU SPL,KATIHAR JN,JOGBANI
07556,JBN KIR DEMU SPL,JOGBANI,KATIHAR JN
07557,KIR JBN DEMU SPL,KATIHAR JN,JOGBANI
07558,JBN KIR DEMU SPL,JOGBANI,KATIHAR JN
07559,KIR JBN DEMU SPL,KATIHAR JN,JOGBANI
07560,JBN KIR DEMU SPL,JOGBANI,KATIHAR JN
07561,KIR JBN DEMU SPL,KATIHAR JN,JOGBANI
07562,JBN KIR DEMU SPL,JOGBANI,KATIHAR JN
07575,TEL BZA MEMU SPL,TENALI JN,VIJAYAWADA JN
07576,OGL BZA MEMU SPL,ONGOLE,VIJAYAWADA JN
07577,KCG MDAK PASS,KACHEGUDA,MEDAK
07578,MDAK KCG PASS,MEDAK,KACHEGUDA
07581,TPTY KPD MEMU SPL,TIRUPATI,KATPADI JN
07582,KPD TPTY MEMU SPL,KATPADI JN,TIRUPATI
07583,KCG MBNR PASS SPL,KACHEGUDA,MAHBUBNAGAR
07584,MBNR KCG PASS SPL,MAHBUBNAGAR,KACHEGUDA
07587,MBNR KCG SPL,MAHBUBNAGAR,KACHEGUDA
07588,MDAK KCG PASS SPL,MEDAK,KACHEGUDA
07590,KRYP TPTY PASS,KADIRIDEVARAPALLI,TIRUPATI
07594,KCG NZB DEMU SPL,KACHEGUDA,NIZAMABAD
07595,NZB KCG DEMU SPL,NIZAMABAD,KACHEGUDA
07596,KCG NZB DEMU SPL,KACHEGUDA,NIZAMABAD
07598,PARLI PAU PASS SPL,PARLI VAIJNATH,PURNA JN
07599,PAU PARLI PASS SPL,PURNA JN,PARLI VAIJNATH
07600,PRLI AK PASS SPL,PARLI VAIJNATH,AKOLA JN
07628,BZA GNT MEMU SPL,VIJAYAWADA JN,GUNTUR JN
07629,BZA TEL MEMU SPL,VIJAYAWADA JN,TENALI JN
07655,GTL TPTY DEMU SPL,GUNTAKAL JN,TIRUPATI
07656,TPTY GTL DEMU SPL,TIRUPATI,GUNTAKAL JN
07657,TPTY UBL PASS,TIRUPATI,HUBBALLI JN
07658,UBL TPTY PASS,HUBBALLI JN,TIRUPATI
07659,TPTY KPD MEMU SPL,TIRUPATI,KATPADI JN
07660,KPD TPTY MEMU SPL,KATPADI JN,TIRUPATI
07661,TPTY KPD MEMU SPL,TIRUPATI,KATPADI JN
07662,KPD TPTY MEMU SPL,KATPADI JN,TIRUPATI
07663,BJP RC DEMU SPL,VIJAYAPURA,RAICHUR
07666,GDR RU MEMU SPL,GUDUR JN,RENIGUNTA JN
07667,RU GDR MEMU SPL,RENIGUNTA JN,GUDUR JN
07670,KCG GTL DEMU SPL,KACHEGUDA,GUNTAKAL JN
07671,GTL BDHN DEMU SPL,GUNTAKAL JN,BODHAN
07673,NS NDD DEMU SPL,NARASAPUR,NIDADAVOLU JN
07680,KXJ AGTL DEMU SPL,KARIMGANJ JN,AGARTALA
07681,SBRM AGTL DEMU SPL,SABROOM,AGARTALA
07682,AGTL SBRM DEMU SPL,AGARTALA,SABROOM
07683,SBRM AGTL DEMU SPL,SABROOM,AGARTALA
07684,AGTL SBRM DEMU SPL,AGARTALA,SABROOM
07687,SBRM AGTL DEMU,SABROOM,AGARTALA
07688,AGTL SBRM DEMU,AGARTALA,SABROOM
07689,SBRM AGTL DEMU SPL,SABROOM,AGARTALA
07690,AGTL SBRM DEMU SPL,AGARTALA,SABROOM
07693,GTL HUP DEMU SPL,GUNTAKAL JN,HINDUPUR
07694,HUP GTL DEMU SPL,HINDUPUR,GUNTAKAL JN
07718,AK AKOT PASS SPL,AKOLA JN,AKOT
07719,AKOT AK PASS SPL,AKOT,AKOLA JN
07720,AK AKOT PASS SPL,AKOLA JN,AKOT
07721,AKOT AK PASS SPL,AKOT,AKOLA JN
07745,KLBG BIDR DEMU SPL,KALABURAGI JN,BIDAR
07747,KLBG BIDR DEMU SPL,KALABURAGI JN,BIDAR
07748,BIDR KLBG DEMU SPL,BIDAR,KALABURAGI JN
07751,WADI KCG MEMU SPL,WADI,KACHEGUDA
07752,FM WADI MEMU SPL,KCG FALAKNUMA,WADI
07753,KZJ DKJ MEMU SPL,KAZIPET JN,DORNAKAL JN
07754,DKJ KZJ MEMU SPL,DORNAKAL JN,KAZIPET JN
07755,DKJ BZA MEMU SPL,DORNAKAL JN,VIJAYAWADA JN
07756,BZA DKJ MEMU SPL,VIJAYAWADA JN,DORNAKAL JN
07757,KZJ SC MEMU SPL,KAZIPET JN,SECUNDERABAD JN
07758,SC KZJ MEMU SPL,SECUNDERABAD JN,KAZIPET JN
07761,BIDR KLBG DEMU SPL,BIDAR,KALABURAGI JN
07762,KLBG BIDR DEMU SPL,KALABURAGI JN,BIDAR
07763,BIDR KLBG DEMU SPL,BIDAR,KALABURAGI JN
07764,KLBG BIDR DEMU SPL,KALABURAGI JN,BIDAR
07765,KRMR SRUR MEMU SPL,KARIMNAGAR,SIRPUR TOWN
07766,SRUR KRMR MEMU SPL,SIRPUR TOWN,KARIMNAGAR
07767,RJY BZA MEMU SPL,RAJAMUNDRY,VIJAYAWADA JN
07768,BZA RJY MEMU SPL,VIJAYAWADA JN,RAJAMUNDRY
07769,BZA MTM MEMU SPL,VIJAYAWADA JN,MACHILIPATNAM
07770,MTM BZA MEMU SPL,MACHILIPATNAM,VIJAYAWADA JN
07771,NDD NS DEMU SPL,NIDADAVOLU JN,NARASAPUR
07772,NS NDD DEMU SPL,BHIMAVARAM JN,NIDADAVOLU JN
07773,PAU AK DEMU SPL,PURNA JN,AKOLA JN
07774,AK PRLI DEMU SPL,AKOLA JN,PARLI VAIJNATH
07775,ADB PRLI DEMU SPL,ADILABAD,PARLI VAIJNATH
07776,PAU ADB DEMU SPL,PURNA JN,ADILABAD
07777,NED MMR DEMU SPL,H SAHIB NANDED,MANMAD JN
07778,MMR NED DEMU SPL,MANMAD JN,H SAHIB NANDED
07779,GNT MCLA MEMU SPL,GUNTUR JN,MACHERLA
07780,MCLA GNT MEMU SPL,MACHERLA,GUNTUR JN
07781,BZA MCLA MEMU SPL,VIJAYAWADA JN,MACHERLA
07782,MCLA BZA MEMU SPL,MACHERLA,VIJAYAWADA JN
07783,BZA GNT DEMU SPL,VIJAYAWADA JN,GUNTUR JN
07784,GNT RAL MEMU SPL,GUNTUR JN,REPALLE
07785,RAL GNT MEMU SPL,REPALLE,GUNTUR JN
07786,GNT RAL DEMU SPL,GUNTUR JN,REPALLE
07787,RAL GNT DEMU SPL,REPALLE,GUNTUR JN
07788,GNT BZA DEMU SPL,GUNTUR JN,VIJAYAWADA JN
07789,KCG MBNR DEMU SPL,KACHEGUDA,MAHBUBNAGAR
07790,MBNR KCG DEMU SPL,MAHBUBNAGAR,KACHEGUDA
07791,KCG NDKD DEMU SPL,KACHEGUDA,NADIKODE
07792,NDKD KCG DEMU SPL,NADIKODE,KACHEGUDA
07793,KCG KRMR DEMU SPL,KACHEGUDA,KARIMNAGAR
07794,KRMR KCG DEMU SPL,KARIMNAGAR,KACHEGUDA
07799,GTL RC DEMU SPL,GUNTAKAL JN,RAICHUR
07800,RC GTL DEMU SPL,RAICHUR,GUNTAKAL JN
07801,GONDIA TRDI DEMU SPL,GONDIA JN,TIRODI
07802,TRDI GONDIA DEMU SPL,TIRODI,GONDIA JN
07803,GONDIA KATANGI DEMU SPL,GONDIA JN,KATANGI
07804,KATANGI GONDIA DEMU SPL,KATANGI,GONDIA JN
07805,G KGE DEMU SPL,GONDIA JN,KATANGI
07806,KGE G DEMU SPL,KATANGI,GONDIA JN
07807,GONDIA KATANGI DMU SPL,GONDIA JN,KATANGI
07808,KATANGI GONDIA DEMU SPL,KATANGI,GONDIA JN
07809,G KGE DEMU SPL,GONDIA JN,KATANGI
07810,KGE G DEMU SPL,KATANGI,GONDIA JN
07811,TMR TRDI DEMU SPL,TUMSAR ROAD,TIRODI
07812,TRDI TMR DEMU SPL,TIRODI,TUMSAR ROAD
07813,TMR BTC DEMU SPL,TUMSAR ROAD,BALAGHAT JN
07814,BTC TMR DEMU SPL,BALAGHAT JN,TUMSAR ROAD
07819,BPQ G MEMU SPL,BALHARSHAH,GONDIA JN
07820,G BPQ MEMU SPL,GONDIA JN,BALHARSHAH
07821,GONDIA PUNA MEMU SPL,GONDIA JN,TIRODI
07822,TIRODI GONDIA MEMU SPL,TIRODI,GONDIA JN
07829,GONDIA GARHA DEMU SPL,GONDIA JN,GARHA GOODS SHED
07830,GARHA GONDIA DEMU SPL,GARHA GOODS SHED,GONDIA JN
07851,ADB PAU DEMU SPL,ADILABAD,PURNA JN
07852,PRLI ADB DEMU SPL,PARLI VAIJNATH,ADILABAD
07855,AK PAU PASS SPL,AKOLA JN,PURNA JN
07861,BZA NS DEMU SPL,VIJAYAWADA JN,NARASAPUR
07862,BZA NS DEMU SPL,VIJAYAWADA JN,NARASAPUR
07863,NS BZA DEMU SPL,NARASAPUR,VIJAYAWADA JN
07864,GNT BZA MEMU SPL,GUNTUR JN,VIJAYAWADA JN
07865,BVRM BZA DEMU SPL,BHIMAVARAM JN,VIJAYAWADA JN
07866,BZA MTM DEMU SPL,VIJAYAWADA JN,MACHILIPATNAM
07867,MTM BZA MEMU SPL,MACHILIPATNAM,VIJAYAWADA JN
07868,GDV MTM DEMU SPL,GUDIVADA JN,MACHILIPATNAM
07869,MTM GDV MEMU SPL,MACHILIPATNAM,GUDIVADA JN
07870,MTM BZA DEMU SPL,MACHILIPATNAM,VIJAYAWADA JN
07871,GDV MTM MEMU SPL,GUDIVADA JN,MACHILIPATNAM
07872,MTM GDV DEMU SPL,MACHILIPATNAM,GUDIVADA JN
07877,BZA NS DEMU SPL,VIJAYAWADA JN,BHIMAVARAM JN
07878,BVRM MTM DEMU SPL,BHIMAVARAM JN,MACHILIPATNAM
07879,MTM GDV DEMU SPL,MACHILIPATNAM,GUDIVADA JN
07880,GDV MTM MEMU SPL,GUDIVADA JN,MACHILIPATNAM
07881,BVRM NDD DEMU SPL,BHIMAVARAM JN,NIDADAVOLU JN
07882,NDD BVRM DEMU SPL,NIDADAVOLU JN,BHIMAVARAM JN
07883,NS NDD DEMU SPL,NARASAPUR,RAJAMUNDRY
07884,NDD BVRM DEMU SPL,RAJAMUNDRY,BHIMAVARAM JN
07885,BVRM NDD DEMU SPL,BHIMAVARAM JN,NIDADAVOLU JN
07889,RAL MRK MEMU SPL,REPALLE,MARKAPUR ROAD
07890,MRK TEL MEMU SPL,MARKAPUR ROAD,TENALI JN
07893,BDHN KRMR MEMU SPL,BODHAN,KARIMNAGAR
07894,KRMR BDHN MEMU SPL,KARIMNAGAR,BODHAN
07895,BZA MTM MEMU SPL,VIJAYAWADA JN,MACHILIPATNAM
07896,MTM BZA MEMU SPL,MACHILIPATNAM,VIJAYAWADA JN
07897,ND NDD DEMU SPL,NARASAPUR,NIDADAVOLU JN
07898,BZA MTM MEMU SPL,VIJAYAWADA JN,MACHILIPATNAM
07899,MTM BZA MEMU SPL,MACHILIPATNAM,VIJAYAWADA JN
07904,MJN DNGI DMU SPL,MAKUM JN,DANGARI
07905,DNGI MJN DMU SPL,DANGARI,MAKUM JN
07970,KCG PAU PASS SPL,KACHEGUDA,PURNA JN
07971,NED MED PASS SPL,H SAHIB NANDED,MEDCHAL
07976,GNT BZA DEMU SPL,GUNTUR JN,VIJAYAWADA JN
07977,BTTR BZA MEMU,BITRAGUNTA,VIJAYAWADA JN
07978,BZA BTTR,VIJAYAWADA JN,BITRAGUNTA
07979,BZA BDCR MEMU SPL,VIJAYAWADA JN,BHADRACHALAM RD
08015,KGP JGM MEMU SPL,KHARAGPUR JN,JHARGRAM
08016,JGM KGP MEMU SPL,JHARGRAM,KHARAGPUR JN
08017,KGP BLS MEMU SPL,KHARAGPUR JN,BALASORE
08018,BLS KGP MEMU SPL,BALASORE,KHARAGPUR JN
08031,BLS BHC MEMU SPL,BALASORE,BHADRAKH
08032,BHC BLS MEMU SPL,BHADRAKH,BALASORE
08049,KGP JGM MEMU SPL,KHARAGPUR JN,JHARGRAM
08051,KGP JGM SPL,KHARAGPUR JN,JHARGRAM
08052,JGM KGP SPL,JHARGRAM,KHARAGPUR JN
08053,KGP TATA MEMU SPL,KHARAGPUR JN,TATANAGAR JN
08054,TATA KGP MEMU SPL,TATANAGAR JN,KHARAGPUR JN
08055,KGP TATA MEMU SPL,KHARAGPUR JN,TATANAGAR JN
08056,KGP TATA MEMU SPL,TATANAGAR JN,KHARAGPUR JN
08059,KGP TATA MEMU SPL,KHARAGPUR JN,TATANAGAR JN
08060,TATA KGP MEMU SPL,TATANAGAR JN,KHARAGPUR JN
08063,KGP BHC MEMU SPL,KHARAGPUR JN,BHADRAKH
08064,BHC KGP MEMU SPL,BHADRAKH,KHARAGPUR JN
08065,KGP BLDA MEMU SPL,KHARAGPUR JN,BELDA
08066,BLDA KGP MEMU SPL,BELDA,KHARAGPUR JN
08069,SRC JGM MEMU SPL,SANTRAGACHI JN,JHARGRAM
08070,JGM SRC MEMU SPL,JHARGRAM,SANTRAGACHI JN
08071,KGP TATA PASS SPL,KHARAGPUR JN,TATANAGAR JN
08072,TATA KGP PASS SPL,TATANAGAR JN,KHARAGPUR JN
08073,ROP VZR DEMU SPL,RUPSA JN,BHANJPUR
08074,VZR ROP DEMU SPL,BHANJPUR,RUPSA JN
08075,ROP VZR DEMU SPL,RUPSA JN,BHANJPUR
08076,VZR ROP DEMU SPL,BHANJPUR,RUPSA JN
08077,ROP BPO DEMU SPL,RUPSA JN,BARIPADA
08078,BGY BPO DEMU SPL,BANGRIPOSI,BARIPADA
08079,BPO BGY DEMU SPL,BARIPADA,BANGRIPOSI
08080,BPO BLS MEMU SPL,BARIPADA,BALASORE
08081,BLS BPO DEMU SPL,BALASORE,BARIPADA
08082,BGY BPO DEMU SPL,BANGRIPOSI,BARIPADA
08083,BPO BGY DEMU SPL,BARIPADA,BANGRIPOSI
08084,BPO ROP DEMU SPL,BARIPADA,RUPSA JN
08085,BLS GPNB MEMU SPL,BALASORE,GOPINATHPUR NILGIRI
08086,GPNB BLS MEMU SPL,GOPINATHPUR NILGIRI,BALASORE
08087,BLS GPNB MEMU SPL,BALASORE,GOPINATHPUR NILGIRI
08088,GPNB BLS MEMU SPL,GOPINATHPUR NILGIRI,BALASORE
08089,BLS GPNB MEMU SPL,BALASORE,GOPINATHPUR NILGIRI
08090,GPNB BLS MEMU SPL,GOPINATHPUR NILGIRI,BALASORE
08091,MFCK BQA MEMU SPL,MUSTAPHACHAK,BANKURA
08092,BQA MSAE MEMU SPL,BANKURA,MUSTAPHACHAK
08093,MSAE BQA MEMU SPL,MUSTAPHACHAK,BANKURA
08094,BQA MFCK MEMU SPL,BANKURA,MUSTAPHACHAK
08095,SONA BQA MEMU SPL,SONAMUKHI PH,BANKURA
08096,BQA SONA MEMU SPL,BANKURA,SONAMUKHI PH
08097,MFCK BQA MEMU SPL,MUSTAPHACHAK,BANKURA
08098,BQA MSAE MEMU SPL,BANKURA,MUSTAPHACHAK
08099,MSAE BQA MEMU SPL,MUSTAPHACHAK,BANKURA
08119,ITR CWA PASS SPL,NSC BOSE ITWARI,CHHINDWARA JN
08120,CWA ITR PASS SPL,CHHINDWARA JN,NSC BOSE ITWARI
08121,BRMP BXF PASS SPL,BIRMITRAPUR,BARSUAN
08122,BXF BRMP PASS SPL,BARSUAN,BIRMITRAPUR
08123,TATA BBN PASS SPL,TATANAGAR JN,BARABIL
08124,BBN TATA PASS SPL,BARABIL,TATANAGAR JN
08129,TATA BMPR DEMU SPL,TATANAGAR JN,BADAMPAHAR
08130,BMPR TATA DEMU SPL,BADAMPAHAR,TATANAGAR JN
